Avg. Area Income,Avg. Area House Age,Avg. Area Number of Rooms,Avg. Area Number of Bedrooms,Area Population,Price,Address
55631,5,6,4,30884,693566.7573,"583 Barker Point
Adamsport, MP 05206-8557"
70836,7,6,4.49,37048,1524586.787,"Unit 5864 Box 4435
DPO AA 82418"
62153,7,6,3.17,42785,1048818.21,"35191 Perez Lakes Apt. 571
Lawrencefurt, WV 74353"
66920,6,7,4.21,38859,1310764.112,"54032 Davis Prairie Suite 029
Walkermouth, TX 13603"
79868,4,7,5.05,54228,1537329.57,"3186 Michael Glen
New Cody, FM 50294-1790"
73145,6,7,2.19,41209,1244881.363,"360 Cook Road Suite 265
Obrienmouth, OK 05534-6066"
54535,5,7,4.41,30852,732733.2363,"146 Christopher Lights Suite 182
New Kathyside, NC 68483"
72240,5,9,4.19,25013,1095806.626,"0079 Paige Junction Suite 813
South Grace, MT 18138-9365"
47266,5,5,3.4,33422,476006.4445,"1190 Jeffery Key Suite 654
Warrenside, NC 21795-9556"
82552,8,5,4.43,40086,1599911.368,"USNV Murphy
FPO AE 22020-0133"
72232,6,8,3.37,49669,1675825.721,"9067 Flynn Mills Apt. 904
North Stevenland, WY 91580"
71625,6,7,6.03,29090,1175868.999,"9822 Theresa Spur Suite 629
North Vicki, AR 88326"
71670,7,7,4.41,31709,1135079.345,"6055 Theresa Knoll
South Garrett, FM 08472"
86157,5,6,2.28,62964,1833208.579,"1427 Jennifer Landing
Blairfurt, TX 86287-9948"
82416,5,7,3.41,15290,1120349.773,"97242 Kayla Forges
Smithfurt, MA 85494"
69567,6,6,2.36,37491,1080735.984,"532 Tanner Forest
North Andrew, UT 94792"
66684,6,7,2.04,37226,1168574.666,"8961 Guerra Motorway
Stephensburgh, AR 59803"
71743,8,8,5.01,44675,1919693.23,"06874 Scott Causeway
Melissastad, FL 21288-1643"
55474,6,8,5.26,48022,1466605.774,"USS Steele
FPO AE 47380-9293"
66262,7,8,6.03,26264,1234037.236,"2843 Benjamin Lights
West Stacy, NJ 76379"
65380,8,7,6.15,21641,1269486.337,"4896 Sandoval Plaza Suite 098
New Robertchester, KY 58588-4690"
73432,6,6,3.33,31148,1176111.788,"736 Juan Fall Suite 950
Christianmouth, MS 32548"
76170,6,6,2.23,50352,1371298.425,"388 Hudson Views Suite 672
Dylanshire, GA 06408"
72631,5,7,5.34,34119,1246509.14,"8592 Tanner Junctions
Port Patriciastad, OR 41830-1527"
64602,6,8,4.15,24117,1020268.855,"18780 Park Locks
West Douglasborough, DE 70878-3747"
55995,8,7,3.5,20896,1130415.41,"43116 Taylor Drives Suite 771
North Michael, TX 96312"
58302,5,8,6.39,32759,890559.861,"USCGC Harris
FPO AE 57943-1887"
66580,8,7,3.12,35827,1417158.537,"463 Green Street Apt. 202
Alicefurt, MP 05063"
73830,6,6,3.5,51386,1376492.925,"PSC 8985, Box 4540
APO AP 99342-8231"
86641,6,6,3.03,22432,1306207.111,"542 Fleming Lakes Suite 229
Lake Jenniferborough, OK 25958-8585"
80535,6,8,5.37,25692,1275208.577,"8664 Barbara Ways Suite 599
East John, TX 89790-2123"
51474,6,8,5.11,38952,902520.94,"086 Pham Plains
Michaelhaven, TN 89309-1566"
69334,6,7,2,17187,872312.1738,"675 Baldwin Well
Larsenside, PR 93064-3226"
55555,6,8,5.03,44903,994517.0453,"206 James Point
Leslieville, NV 63556"
64055,8,7,5.21,27805,1289008.217,"Unit 7578 Box 5315
DPO AP 21782"
76811,8,7,4,27770,1610006.605,"338 Karen Prairie Apt. 341
Murphymouth, MI 56611"
78030,7,7,3.43,42433,1843720.648,"838 Hunter Mountains Apt. 655
Lake Jessicashire, TN 18218"
76922,7,7,4.47,44921,1891949.348,"935 Norris Walks
New Joshua, PA 84565-5279"
63834,6,8,5.28,34482,1451078.093,"USCGC Johnson
FPO AA 08988"
69120,7,7,5.21,36632,1481940.762,"Unit 6352 Box 4009
DPO AE 83854-5561"
65455,4,8,3,47741,1144477.879,"18153 Michelle Street Apt. 150
North Julieburgh, CT 81526-8507"
53067,8,7,5.21,46133,1279945.51,"55158 David Garden Suite 849
Joshuashire, NH 08358"
59519,6,9,6.27,42177,1193021.312,"53197 Rowe Brooks
Anthonybury, DC 36875"
64725,7,5,4.41,43834,1167119.109,"11769 Vaughan Lakes Apt. 083
East Daniel, VI 57715"
83937,7,6,2.15,25569,1225612.763,"065 Christine Stream
Lake Sarah, NY 49190"
70298,7,4,2.31,33458,1131618.913,"21680 Jeffrey Heights Apt. 199
Davismouth, ND 55667-5634"
79337,6,8,3.21,41521,1697501.605,"8538 Johnson Lodge
West Sharonberg, NJ 82474-6273"
63579,6,7,3.17,42323,1365496.885,"USCGC Anthony
FPO AE 75578-8273"
65125,5,6,4.1,19162,622449.6452,"6859 Brown Forges Apt. 352
Schultzstad, VT 26911"
84365,5,7,3.46,50521,1551094.815,"8285 Thompson Spring Apt. 597
East Stephanie, NY 77685"
76287,7,5,2.27,35213,1299126.83,"USS Jones
FPO AP 83668-4924"
56433,6,9,3.13,46059,1290324.649,"4025 Roberson Turnpike Suite 615
Brianburgh, TN 31726-6186"
83407,5,7,6.29,25351,1183884.005,"32631 Lucero Trafficway
Joshuaborough, WI 15469-7710"
74868,6,8,4.42,33769,1305934.325,"98193 Pierce Crest
Lake Michaelfurt, KY 99821-3879"
55698,7,8,6.32,49507,1279117.965,"PSC 6252, Box 5970
APO AE 99235"
59576,4,7,3.35,37154,786559.0249,"54194 Richard Mall
Johnfurt, SD 79157"
69606,8,7,3.07,35427,1588196.233,"74421 Horton Manor Apt. 121
Lake Edward, SC 75278"
67664,5,8,3.01,30546,976649.0166,"567 Gomez Hills
Amyville, NM 92900"
75354,7,7,3.35,21574,1250866.567,"7844 Juarez Green
Melissaview, KS 67281"
63750,6,7,3.03,40582,1046627.052,"17488 French Prairie Suite 496
East Williamburgh, GU 44258-8729"
72263,6,5,4.04,28428,1115935.277,"60205 Tammy Corner Apt. 791
West Lisastad, HI 54302-1058"
69246,6,6,2.24,35006,1077813.593,"451 Pratt Walk
West Josephchester, OH 68420-3256"
65466,6,7,3.38,31298,1047689.266,"88878 Ramirez Street
Fordville, NV 54980"
107702,7,9,3.29,37619,2332110.74,"41017 Eric Village
Jonathanport, CO 37205"
58829,7,6,3.2,31237,956435.2633,"8136 Lopez Cove Suite 606
Thomasview, MD 87052-0869"
94651,7,7,5.15,27798,1892623.546,"3232 Martinez Spurs Suite 594
Paulview, IL 73971-9525"
49851,5,5,3.04,32512,283208.1322,"03837 Burton Run Apt. 741
North Casey, HI 32920"
61523,6,9,6.46,30399,1176021.375,"249 Wall Stream Suite 514
Lake Cynthiaville, WY 10462"
59082,5,7,3.43,33463,783818.682,"776 Shawna Port Suite 508
Burkeshire, DE 16725-8223"
80732,8,7,6.23,28955,1625703.075,"4131 Jones Neck Apt. 808
Lake Jamesmouth, VI 37688"
88222,7,7,2.15,34795,1961846.905,"9951 Kevin Knoll Apt. 557
Piercefort, CT 70599"
70652,5,6,2.26,35340,1084556.029,"70172 Harding Burgs
New Elizabeth, GA 31809-6568"
79289,6,6,2.3,41321,1428247.074,"99993 Miller Mall
North Shelbyview, CO 19948-1105"
73970,6,8,6,39664,1634945.808,"23210 Vaughn Plaza
Patrickview, FM 32471-7299"
62857,5,6,4.17,48340,915992.5578,"2061 Edward Circles Suite 191
Lindseyborough, GU 82013"
72991,3,6,2.48,50626,1042373.524,"0618 Richardson Mountain Apt. 253
Jasmineport, DC 78574"
62795,4,8,5.33,31162,879618.3222,"54038 Warner Mall Suite 306
Sarahmouth, SD 61528"
71806,6,6,2.45,47563,1210431.684,"13963 Anderson Fork
Port Dawnside, NV 79521"
69585,5,8,6.19,17046,1059262.039,"27634 Bell Mission Apt. 748
Whiteshire, FM 13329-8305"
62357,7,7,5,23383,972417.8089,"PSC 9682, Box 5865
APO AA 11465"
59717,5,7,5.06,41273,1242979.154,"7099 Shane Trail Apt. 259
Pinedaborough, GU 91864-3525"
71094,6,6,3.26,37143,1096846.086,"19371 Laura Mountain
South Sergioshire, PA 45947"
76336,6,8,3.45,37258,1392685.285,"69486 Brenda Island Apt. 827
Sarahborough, CT 52727"
54762,4,8,5.47,58460,1080464.852,"84075 Jeffrey Tunnel
South Amymouth, KS 13318-7131"
61666,6,6,2.35,34605,821413.1935,"4484 Estes Bypass
Bradleystad, FM 70703"
92280,7,8,4.31,38004,2237778.026,"9032 Hernandez Passage
Lake Karenstad, NY 24477-7673"
74313,6,8,3.22,43907,1518319.641,"067 Lucas Walks Suite 450
East Marcland, VI 00144-8724"
70027,6,8,3.14,38102,1503552.206,"171 Wayne Flat Apt. 324
Bartlettside, IL 19674"
68524,6,6,2.05,48112,1219154.403,"85915 James River
Leblancfort, TN 61922-6111"
87928,6,5,2.13,34724,1276259.018,"01358 Barton Ranch
Lawrenceborough, SD 60884-8281"
74082,7,7,2.44,32617,1400496.655,"4120 Jason Path
Lake Rebeccafort, ME 80907-9585"
72245,6,6,2.01,25509,1127174.713,"271 Larson Corners Apt. 496
Andreaburgh, TX 00062"
63555,5,8,3.16,41839,1251663.851,"502 Willis Village Apt. 935
Port Lawrence, IN 49301"
74171,6,7,2.1,40719,1469354.782,"158 Christina Junctions Suite 137
North Justin, HI 69723-6199"
70006,5,7,4.3,25136,946556.2637,"93827 Gonzalez Rest Suite 278
Luisville, MH 13877-8429"
67548,7,7,4.18,28132,1150658.595,"639 James River Suite 931
West Denise, KY 32288"
61777,7,8,3.05,27971,1325819.913,"999 Lewis Fork
South Stephanie, WV 50293-8967"
69201,6,7,4.28,31085,1150093.889,"976 Tamara Course Suite 169
South Donna, MP 27394-3313"
66887,6,7,3.35,23806,1009142.338,"652 Debra Ramp Suite 784
Port Stefanieside, KY 51547"
83201,6,7,5.15,43837,1705276.19,"45434 Craig Shore
West Justin, AK 33316"
59945,6,8,4.19,28999,829794.8233,"4788 Kristen Bypass Suite 131
West Michael, SC 22980"
53676,6,7,2.31,47027,1046442.634,"7655 Weber Square
New Jaclyn, MT 85582"
64075,5,7,4.5,40211,1152269.431,"Unit 6626 Box 7561
DPO AP 16790"
77324,5,7,2.4,32840,1091479.56,"3269 Sherri Corner
New Jonathan, MS 39820-0357"
76870,5,6,4.32,25656,1039915.341,"60046 Destiny Port Suite 618
North Nataliehaven, WV 64258"
55897,4,8,5.27,31094,565732.8175,"79244 Lee View Suite 312
Wendyton, MO 11893-3330"
87766,5,8,6.41,39910,1739628.383,"168 Phillips Row
New Emily, CO 16308-7553"
78332,6,8,3.27,31033,1442128.732,"3350 Morris Road Suite 424
Maymouth, DC 48494"
74570,4,5,2.06,39184,1004124.909,"8850 April Lock Suite 431
North Janet, AR 53662-0663"
87315,5,7,2.18,25225,1143621.36,"639 Christopher Squares Suite 686
Reneetown, GA 47710"
78020,5,6,2.25,36689,1060241.2,"234 Mary Vista
Port Jenniferhaven, AS 50660-3651"
64433,7,7,4.09,50851,1548962.888,"3133 Stacey Mountains Suite 240
East Kayla, AK 86549-5044"
74333,5,8,6.35,30212,1056984.182,"7004 Monica Locks Apt. 668
Brownmouth, PR 36675"
74664,8,6,3.25,23818,1447353.264,"4241 Reed Keys Apt. 890
Snyderburgh, MI 24927"
73406,6,6,4.21,38074,1251566.478,"2758 Harris Canyon Apt. 514
Bakerburgh, PA 60893"
58464,5,7,3.26,25157,751969.2117,"024 Caleb Parkways
East Matthewborough, LA 94636"
61601,5,7,2.38,37458,764955.4982,"5274 Brown Ridge Apt. 421
East Robintown, DE 26378-8119"
75155,6,6,4.46,51563,1539958.931,"1157 Jasmine Grove Apt. 934
East Craigside, AZ 99194-1973"
67829,6,6,2.32,27128,962747.1639,"39341 Wise Ports
Lake Laura, KY 62351-5064"
50145,6,8,3.24,43233,1353854.478,"781 Townsend Mountains Suite 207
Joneston, NY 22169-4842"
86557,5,9,5.25,42757,1850525.573,"5442 Mcdaniel Hill
South Joe, TN 50468-3763"
87734,6,6,3.15,43943,1778411.665,"3034 Sarah Stream
West Patricia, CT 37525"
65846,7,8,3.29,22355,1369006.115,"939 Atkinson Vista Suite 208
Kennethton, GU 36352-1328"
45551,7,6,2.48,49839,1197975.085,"27317 Lloyd Radial Apt. 985
South Kevinview, NJ 72757-4701"
89947,7,8,4.17,40503,1930143.831,"03913 Brian Skyway Suite 719
East Michaelfort, FL 88693-1834"
72793,8,7,2.4,34104,1481946.194,"8339 Claudia Port
Brianberg, LA 70084"
68709,6,9,4.38,31660,1347578.53,"900 Eileen Prairie Suite 346
South Melissa, WV 86173-2956"
87507,5,5,3.13,32700,1358646.746,"20330 Kendra Throughway Apt. 798
South Timothyville, OH 90558-4977"
62862,5,7,3.37,37255,931768.0455,"4468 Haley Meadow Suite 401
Amandamouth, LA 51503-8671"
59054,5,7,5.24,51384,1205962.995,"6879 Rogers Squares
Port Christine, PR 15758-2368"
45978,5,8,3.02,36063,792146.076,"497 Olson Rue
Port Scottbury, MD 24573"
80281,6,8,5.27,45424,1618670.884,"363 Meyers Island
Lake Iantown, MP 83262-3375"
65909,5,7,3.29,24081,864446.7942,"907 Maria Branch
Jamesport, VT 98208-9060"
55930,6,7,3.09,24899,662630.3439,"559 Megan Summit Suite 325
Obrienmouth, OR 18396"
77588,6,7,4.37,37280,1485145.661,"2326 Amy Plains Suite 061
Dawnfurt, SD 64522-9268"
62637,6,6,3.18,51456,1047226.967,"84212 Christopher Knoll Suite 747
Codymouth, ID 33963-6108"
76142,4,9,4,41931,1392793.814,"96599 Santos Causeway Apt. 231
Port Paula, MA 16824"
63524,6,5,4.31,48124,943575.1307,"136 Brown Mills Apt. 509
Fletcherfort, IL 45521"
85673,7,6,2.14,33111,1793398.718,"59400 Theresa Well Suite 331
South Sandraland, MN 59076"
49268,6,8,6.44,41349,881273.1168,"USNV Hall
FPO AP 47103-2429"
87978,8,8,5.11,39586,2138713.943,"926 Rose Rapids Suite 479
South Jacob, AL 52129"
78785,7,7,2.12,33603,1540869.872,"99061 Justin Mission Suite 452
Johnhaven, OR 27004-7494"
79272,8,7,3.5,28904,1707650.436,"2627 Ford Spurs Suite 995
Christopherton, KY 30003-0171"
62755,6,7,3.07,41525,1025705.134,"713 Jason Plaza Apt. 927
Coreymouth, MA 50325"
81945,6,7,4.46,34262,1541186.254,"6975 Gabrielle Shores
Lake Kelseyland, CO 77085-1324"
67384,7,8,6.43,48918,1930344.449,"9380 Kimberly Mission Apt. 786
Buckmouth, PW 12882-2996"
67283,6,8,4.44,42769,1481146.95,"9131 Cline Prairie Suite 607
West Trevor, ND 38795-2007"
57870,5,6,3.13,44475,1099725.283,"05589 Aaron Prairie
Bakerbury, MP 64630-4394"
64968,7,7,3.26,28164,1190867.437,"917 Black Prairie
West Elizabeth, OH 04452"
69701,7,5,4.37,21935,1070318.815,"8649 Elizabeth Hill
Port Erin, WY 52957-5435"
74491,5,8,4.1,35563,1358213.906,"238 Julie Parks
Christopherton, NH 95146"
54827,7,8,6.01,45027,1198725.487,"59647 Matthew Harbors
Sheilashire, OK 81154-7934"
74370,7,8,3.27,45992,1774715.484,"PSC 9368, Box 6505
APO AA 78606"
81358,6,6,3.5,51019,1538903.993,"0052 Murphy Motorway
New Maria, TN 69580-8439"
73186,6,7,4.5,54681,1462360.601,"Unit 1448 Box 4395
DPO AA 25685"
53527,5,6,3.1,51611,953261.9162,"64535 Billy Mountain
Moseston, TN 48447-9761"
64736,7,7,3.15,47717,1427108.501,"7956 Cassandra Union
Lake Ann, OR 51456"
68489,5,7,4.03,28298,769576.8637,"08119 Regina Hollow
Ianport, SC 23292-5020"
49424,7,5,2.27,18657,668255.4804,"02795 Wendy Point
West Shannon, DE 72326-4625"
62033,5,7,4.39,25267,800809.1317,"1728 Erickson Ferry Apt. 348
Johnborough, WY 10598-1489"
64507,6,8,6.07,41521,1427202.279,"57349 Paul Wall
Port Kelly, MD 28873-9792"
51178,7,7,3.1,31822,783566.3279,"74931 Rogers Wall
Julianfurt, IN 78140"
64290,4,7,3.44,54157,949072.2496,"519 Avila Road
Jamesbury, SC 76217-0455"
61482,7,8,3.06,50245,1693591.835,"53979 Derek Road
Carrieville, DC 45078-8600"
70131,8,10,4.07,26794,1675557.271,"72654 Jason Plaza
South Crystalburgh, MS 24864"
84923,7,6,4.35,43232,1943359.768,"995 Carter Haven
North Raymondchester, PA 75389"
63234,5,7,2.37,49272,1106261.274,"05706 Ochoa Points Suite 263
North Craig, MH 98488-6772"
53777,7,6,4.24,29324,978766.9139,"75906 Marissa Ville Apt. 047
Robinsonside, MN 51149"
67125,5,8,5.37,22651,997827.2538,"3703 Mark Stravenue
Jenniferland, VT 47784"
66008,6,5,4.02,45400,1062206.321,"9606 Sanford Villages Apt. 846
Piercestad, CT 72842-3325"
64838,6,9,4.02,32921,1382172.294,"Unit 2193 Box 7909
DPO AA 47323-2101"
83889,7,6,4.5,17958,1281741.163,"4641 Romero Branch
Port Adam, OH 48769"
78846,7,8,6.1,41261,1592664.7,"89757 Mcfarland Cove
South Ronaldport, LA 62288-5973"
72556,5,7,6.42,31487,1247557.695,"796 William Skyway Apt. 402
West Tyrone, VI 81186-6677"
62070,6,7,3.35,27099,779207.5546,"47492 Phillips Trail Apt. 262
Mariohaven, MH 00956"
88698,5,7,3.48,29936,1222760.858,"649 Brandon Ways
New Jennifer, GA 81262"
57216,7,8,6.32,35046,1380715.315,"773 Zachary Turnpike
South Vanessamouth, NJ 83757"
53712,4,7,2.38,31914,704884.1544,"151 Luna Landing
Brandtmouth, RI 02975"
77331,6,6,3.45,49571,1530480.688,"26425 Tasha Trace Suite 683
North Kristinbury, UT 69027"
66556,6,8,4.21,45326,1780415.438,"7287 Mullen Burg Apt. 284
Housetown, VA 71506-7091"
74864,6,8,6.21,46251,1709667.189,"19834 Rodriguez Lights Suite 480
Parkchester, MS 20288-6598"
62562,5,8,3.23,37446,852565.6269,"993 Lowery Villages Suite 537
Warnerhaven, MD 10412"
77822,5,7,2.36,33933,1185310.267,"58847 Mccormick Isle Apt. 081
North Patrickborough, NJ 31166-7988"
79580,6,9,6.08,43215,1795093.034,"USNV Walker
FPO AE 81668-3821"
69923,4,6,4.49,45202,956241.9913,"65132 Sharon Manors
Maynardmouth, MI 60210-9659"
63880,5,7,4.39,56267,1224454.547,"85285 Kayla Walks
Garnerberg, MA 84386"
59155,4,6,2.49,26568,552279.214,"0880 Torres Views
Lake Seanside, ND 47671"
52835,8,8,5.28,34537,1186357.179,"1813 Shawn Canyon Apt. 761
East Kennethfurt, LA 37064-8900"
63750,7,9,3.4,47248,1582261.701,"079 Cruz Walks
Gregoryfurt, IL 39580"
81742,5,8,5.25,29756,1478028.174,"508 Watson Motorway
Kirbychester, NJ 76201-4719"
77595,7,7,5.35,24294,1386306.103,"878 Shawn Ford Suite 912
Aaronburgh, NC 90513-9301"
79843,6,7,3.24,42453,1424786.509,"006 Benson Camp Suite 290
Lake Tracy, AL 36317-8259"
77082,4,7,6.42,40080,1206937.316,"72956 Jessica Stravenue
Bethanyshire, CT 67149-6278"
70714,5,8,5.22,29436,1209287.535,"809 Harrington Forges
Smithstad, PW 59127"
63798,6,7,2.38,26627,1029869.764,"2765 Smith Mission
Baldwinton, LA 68900"
45914,5,6,4.16,26309,300464.0987,"7976 Richard Plains Apt. 958
Lake Abigail, IN 02827-4222"
88190,5,7,2.1,25177,1294278.118,"002 Katherine Flat
Hartmanland, AZ 37973-3049"
72011,6,8,6.43,16377,1251757.193,"456 Nicole Canyon
New Valerieside, CA 37155"
52421,7,6,4.29,39766,1128403.366,"35923 Melody Union
Huffmanville, AK 21375"
74748,5,7,5.43,36072,1363669.069,"467 Emily Rapids
New Bradleyside, MI 74897"
80913,6,7,6.25,30034,1177744.973,"642 Ashley Burg
Jennifershire, KY 79760-6173"
59480,5,8,4.33,43704,980274.0699,"99990 Miller Way
Russellberg, MN 31202"
80951,5,6,4.14,38991,1524115.891,"3027 Pamela Trail Suite 457
South Veronica, NC 79350"
63856,7,7,3.41,31115,1311902.534,"9912 Smith Roads Apt. 591
Lake Stacey, AR 95418-6029"
74728,6,7,5.11,27639,1119992.619,"68583 Allen Centers
North Masonhaven, ME 51493-3022"
78095,7,7,3,32346,1538922.903,"165 Rebecca Run
South Hannahport, LA 92436-6494"
69690,4,6,4.46,27439,843633.1982,"5831 Lisa Road Suite 705
East Nathan, VI 05521-1350"
54973,5,7,5.45,40413,903301.9933,"5073 Spencer Station Suite 444
Toddfort, MO 95614"
62571,6,7,4.37,41465,1161995.728,"86533 Gould Hills
Garciachester, DE 09135-4735"
69371,5,5,3.42,33732,733299.7945,"1732 Barbara Overpass
Hillmouth, DC 64884"
82415,7,6,3.08,46298,1837930.801,"8901 Lisa Isle Apt. 035
North Tammiechester, NC 23048-4036"
52865,6,8,3.16,39157,962028.7008,"15502 Hailey Courts
West Melissaton, GA 00663"
65856,7,8,6.4,45529,1477765.148,"88428 Campos Path Apt. 890
North Joshuashire, AZ 84342-5757"
61310,8,7,4.39,33201,1419345.607,"29337 Gabrielle Mission Suite 631
Loganfort, MS 10959"
39412,4,7,4.44,45851,539483.3966,"1085 Michele Glens Apt. 517
Sergiotown, VT 20367"
77266,5,8,3.46,21558,1097701.943,"270 Sarah Vista
North Jessicatown, MP 84920-3221"
74778,6,7,2.2,30013,1412274.486,"300 Larry Drive Apt. 188
Maychester, GU 63293-8809"
67474,3,8,4.12,34972,1013443.438,"6700 Burns Summit Apt. 752
Munozmouth, PR 33205"
68848,7,6,4.16,25880,893919.0388,"140 Alvarado Center
Hessview, OR 63586"
66148,6,7,4.14,31574,1234531.601,"77597 Connie Harbors
Robertville, DC 21128-0453"
63596,6,7,3.22,19345,864702.9339,"904 Jennifer Pass
East Carolyn, NE 80148-8850"
60742,6,7,4.38,24534,977024.1102,"5432 Walker Island
North Richardchester, AS 42587"
73541,4,7,5.24,39756,936148.5119,"12715 Short Squares Suite 017
Leahburgh, PR 77137-6937"
74634,6,6,3.4,30601,1056976.975,"132 Allison Rapids
Yvonnefurt, NC 14633"
62017,6,8,3.45,35750,1040607.312,"PSC 0939, Box 2872
APO AE 84646"
84250,6,6,4.14,44571,1641101.519,"3067 Monica Junctions
New Jamie, NY 50202"
44247,6,6,4.38,22012,503065.5056,"1377 Moran Wells
Richardburgh, IL 33834-1305"
59474,7,8,6.19,41215,1296146.939,"27645 Kline River
Port Samuelside, GU 06730"
67839,7,7,3.46,26377,1164209.619,"43918 Carpenter Village
Lindsayborough, WY 68856-0092"
62972,7,5,2,33870,999814.8898,"76984 Adams Stream
Jamesview, AZ 00532-4427"
61163,6,8,6.04,36034,1060897.689,"06275 Ross Mills Suite 054
Lisastad, DC 67330"
87472,6,7,3.32,48307,1848633.724,"29279 Jermaine Plain
Morrisland, SC 37248-4063"
48693,5,6,3.02,36239,617157.9103,"520 Love Hill
Port Scottview, NC 38932-2657"
67859,5,6,3.34,29709,857697.1255,"PSC 8501, Box 9843
APO AP 98266-5428"
72332,6,7,4.41,45804,1253434.398,"87019 Russell Port Apt. 950
Rhondastad, KY 27693-9413"
80776,6,8,5.29,26602,1635092.433,"62969 King Junctions Apt. 619
Maryton, NY 45618"
75151,7,7,3.3,32032,1524845.422,"PSC 7794, Box 7590
APO AA 40047"
62095,6,5,3.24,36183,763869.6667,"94007 Luis Isle Apt. 081
Port Jesse, IN 51991"
75759,5,8,4.11,46188,1376637.506,"14841 Jeffery Passage
Lake Kyle, WA 90337-7454"
64374,8,7,6.23,23251,1244440.135,"95798 Elizabeth River
Benjaminbury, VT 03318-9619"
48148,6,8,6.44,32051,693931.5015,"PSC 3778, Box 1575
APO AE 50445-2100"
64127,6,7,2.25,42629,1277744.739,"3840 Timothy Walks
West Deborah, VT 14535-2467"
83922,6,7,4.06,39570,1539329.319,"805 Brown Land Suite 726
Jenniferhaven, GA 61596-1119"
54618,6,7,2.18,29614,903881.6639,"548 Alec Keys
Daniellemouth, PA 02241"
45493,7,7,3.2,38938,896944.2443,"PSC 9294, Box 6252
APO AP 46111-7806"
72780,5,6,2.48,44954,1184758.842,"60075 Rhodes Summit
North Crystalview, VA 40652"
96395,5,8,6.5,35036,1731437.416,"389 Michael Knolls Apt. 891
Reyeshaven, WV 22646-0966"
47467,6,7,3.33,37342,762144.9261,"753 Kline Street
New Cindyland, MI 13424-8203"
61807,6,8,5.46,44587,1270905.02,"876 Woods Circles
North Sarah, OK 34668"
54794,6,8,4.21,39386,1000043.903,"043 Tyler Oval
Lake William, AS 62856-9836"
94923,6,8,3.3,43819,1967637.287,"8068 Curtis Glen
Anthonyfurt, VA 17191"
62059,7,6,3.23,28954,1114779.247,"034 Parker Unions
Lake Thomas, MP 99522-4945"
46952,6,6,4.24,31628,671661.7134,"727 Gonzales Fork
Jonathanborough, ND 57809-1961"
67004,7,7,3.02,28464,1214986.886,"003 Erica Passage Apt. 274
East Ritaton, KS 97261-8617"
87835,4,7,3.39,16251,1053236.6,"1215 Dawson Locks Suite 788
Port Elizabeth, NH 66530"
73434,7,6,2.05,44544,1515005.384,"62721 Stewart Mount
Marieburgh, WY 37987-7127"
70124,7,7,6.32,51674,1732196.217,"3222 Alexis Square
Leetown, MS 07616"
84366,5,8,5.27,43445,1587122.369,"30682 Perry Ranch Suite 253
Tinaport, CT 17781"
60344,8,7,4.38,24199,1184893.56,"8042 Jasmine Ramp
Charlesborough, IL 29751"
71309,6,9,3.25,22710,1314348.699,"6049 Ramos Fork
Vaughnmouth, MN 39214-3093"
65431,4,7,4.41,33320,717825.3597,"7646 Joshua Tunnel
Christinaton, AZ 69071-6657"
73591,5,7,2.5,51662,1441736.761,"960 Diamond Mews Apt. 150
East Donnaview, MH 67321-2363"
52806,7,7,4.48,37161,1119542.311,"4122 Bradley Turnpike Apt. 551
New Carlaville, KY 15412-2546"
58187,6,7,4.08,31552,850977.0123,"0227 Walters Haven
West Wesleybury, MS 17227"
70506,6,8,3.14,44707,1655466.736,"6998 Jason Hollow
Kleinbury, KY 02969"
77412,7,7,4.29,33259,1641739.518,"793 Cynthia Shore
South Randy, MN 75770-8233"
65088,7,7,3.45,40283,1369976.501,"31241 Johnson Prairie Suite 452
Hancockshire, AS 54797-5444"
72547,6,7,3.32,39219,1465835.843,"PSC 6728, Box 9260
APO AA 33818"
78864,6,7,3.3,50194,1789334.851,"8374 Colon Isle
North Yolanda, SD 47070-7137"
67336,7,7,6.26,10311,863297.1767,"493 Beth Tunnel Apt. 276
New Mitchell, DC 10981"
79552,5,7,3.32,50114,1425366.413,"5131 Tapia Gardens Suite 886
Christinaburgh, CO 75023-0787"
89089,7,9,5.29,49782,2271112.744,"8252 Murillo Mountain
Glennshire, SC 33179"
67110,7,7,6.1,31999,1370699.722,"965 Wilson Ridges
Holmesland, VT 81072"
80779,6,6,3.16,34431,1566740.128,"3753 Dean Island Suite 773
North Dennis, OR 90936-6820"
76624,5,6,4.17,47039,1436995.2,"678 Patton Pass
Guzmanberg, MA 60510"
80012,6,6,2.49,26576,1345962.955,"51202 Perez Squares
New Kellytown, WV 38886-7802"
70473,6,6,3.24,34894,1265180.909,"4821 Christopher Park
Lopezside, MH 21430"
57457,5,8,6.22,37379,1061222.537,"278 Tina Spur Suite 751
Jessicashire, PA 60756"
80001,6,6,3.17,42245,1383967.463,"50664 Kent Haven
Christopherchester, KS 50822-8146"
66388,6,8,5.22,22553,1051519.066,"0896 David Islands Suite 115
Lake Patriciaburgh, MD 03928-1885"
64699,7,7,4,49084,1550359.548,"31018 Park Square Suite 876
Normanside, MA 65696-1725"
84777,5,6,2.22,42039,1375057.083,"88259 Amanda Valleys
Carrollmouth, OH 35308-8073"
81197,7,7,3.01,49575,1882978.9,"6983 Tyler Mission Apt. 984
South Nicholasbury, DE 26628"
60691,8,7,3.42,35529,1274053.64,"814 Elizabeth Square Suite 264
New Brenda, DC 70173-4108"
